Open Date,Open Price,Position,Shares,Close Date,Close Price,Returns,Returns (%),Duration,Max Drawdown,Max Drawdown (%),Equity Balance
2011-03-14,101.26,Buy,2468.0,2011-03-15,99.23,-5010.04,-5.01,1,-5010.04,-5.01,94989.96
2011-03-15,98.61,Buy,2408.0,2011-08-04,96.64,-4743.76,-4.99,142,-4743.76,-4.99,90246.20000000001
2011-08-04,97.82,Buy,2306.0,2011-08-04,95.87,-4496.7,-4.98,0,-4496.7,-4.98,85749.50000000001
2011-08-05,95.73,Buy,2239.0,2011-08-05,93.82,-4276.49,-4.99,0,-4276.49,-4.99,81473.01000000001
2011-08-08,91.92,Buy,2215.0,2011-08-08,90.08,-4075.6,-5.0,0,-4075.6,-5.0,77397.41
2011-08-09,89.69,Buy,2157.0,2011-08-09,87.89,-3882.6,-5.02,0,-3882.6,-5.02,73514.81
2011-08-10,90.62,Buy,2028.0,2011-08-10,88.81,-3670.68,-4.99,0,-3670.68,-4.99,69844.13
2011-08-11,89.05,Buy,1960.0,2011-10-03,87.27,-3488.8,-5.0,53,-3488.8,-5.0,66355.33
2011-10-03,88.9,Buy,1865.0,2011-10-03,87.12,-3319.7,-5.0,0,-3319.7,-5.0,63035.630000000005
2011-10-04,85.63,Buy,1840.0,2012-01-10,102.75,31500.8,49.97,98,-1340.06,-2.13,94536.43000000001
2012-05-11,107.97,Buy,2188.0,2012-05-17,105.81,-4726.08,-5.0,6,-4726.08,-5.0,89810.35
2012-05-17,106.13,Buy,2115.0,2012-05-18,104.01,-4483.8,-4.99,1,-4483.8,-4.99,85326.55
2012-05-18,104.94,Buy,2032.0,2012-06-01,102.84,-4267.2,-5.0,14,-4267.2,-5.0,81059.35
2012-06-01,103.37,Buy,1960.0,2013-02-13,124.05,40532.8,50.0,257,-3549.84,-4.38,121592.15000000001
2013-06-17,134.15,Buy,2265.0,2013-06-20,131.47,-6070.2,-4.99,3,-6070.2,-4.99,115521.95000000001
2013-06-20,132.17,Buy,2185.0,2013-06-21,129.53,-5768.4,-4.99,1,-5768.4,-4.99,109753.55000000002
2013-06-21,131.05,Buy,2093.0,2013-06-24,128.42,-5504.59,-5.02,3,-5504.59,-5.02,104248.96000000002
2013-06-24,129.22,Buy,2016.0,2014-02-28,155.06,52093.44,49.97,249,-2790.23,-2.68,156342.40000000002
2014-04-11,151.73,Buy,2576.0,2016-04-19,182.07,78155.84,49.99,739,-1789.74,-1.14,234498.24000000002
2016-11-01,186.61,Buy,3141.0,2016-11-03,182.88,-11715.93,-5.0,2,-11715.93,-5.0,222782.31000000003
2016-11-03,184.03,Buy,3026.0,2017-08-08,220.84,111387.06,50.0,278,-4264.45,-1.91,334169.37
2017-08-11,217.1,Buy,3848.0,2018-08-24,260.53,167118.64,50.01,378,-7478.47,-2.24,501288.01
2018-10-09,261.65,Buy,4789.0,2018-10-10,256.42,-25046.47,-5.0,1,-25046.47,-5.0,476241.54000000004
2018-10-10,261.14,Buy,4559.0,2018-10-10,255.92,-23797.98,-5.0,0,-23797.98,-5.0,452443.56000000006
2018-10-11,252.26,Buy,4483.0,2018-10-11,247.22,-22594.32,-4.99,0,-22594.32,-4.99,429849.24000000005
2018-10-12,251.98,Buy,4264.0,2018-10-23,246.94,-21490.56,-5.0,11,-21490.56,-5.0,408358.68000000005
2018-10-23,246.68,Buy,4138.0,2018-10-24,241.75,-20400.34,-5.0,1,-20400.34,-5.0,387958.34
2018-10-24,248.85,Buy,3897.0,2018-10-24,243.87,-19407.06,-5.0,0,-19407.06,-5.0,368551.28
2018-10-25,243.43,Buy,3784.0,2018-10-29,238.56,-18428.08,-5.0,4,-18428.08,-5.0,350123.2
2018-10-29,244.73,Buy,3576.0,2018-10-29,239.83,-17522.4,-5.0,0,-17522.4,-5.0,332600.8
2018-10-30,240.06,Buy,3463.0,2018-12-17,235.25,-16657.03,-5.01,48,-16657.03,-5.01,315943.77
2018-12-17,236.17,Buy,3344.0,2018-12-17,231.44,-15817.12,-5.01,0,-15817.12,-5.01,300126.65
2018-12-18,234.17,Buy,3204.0,2018-12-19,229.48,-15026.76,-5.01,1,-15026.76,-5.01,285099.89
2018-12-19,232.32,Buy,3068.0,2018-12-19,227.67,-14266.2,-5.0,0,-14266.2,-5.0,270833.69
2018-12-20,227.48,Buy,2976.0,2018-12-20,222.93,-13540.8,-5.0,0,-13540.8,-5.0,257292.89
2018-12-21,225.95,Buy,2846.0,2018-12-21,221.43,-12863.92,-5.0,0,-12863.92,-5.0,244428.97
2018-12-24,218.9,Buy,2791.0,2018-12-26,214.52,-12224.58,-5.0,2,-12224.58,-5.0,232204.39
2018-12-26,216.09,Buy,2686.0,2019-03-15,259.31,116088.92,49.99,79,-5432.47,-2.34,348293.31
2019-05-28,260.38,Buy,3344.0,2019-05-29,255.18,-17388.8,-4.99,1,-17388.8,-4.99,330904.51
2019-05-29,256.54,Buy,3224.0,2019-06-03,251.41,-16539.12,-5.0,5,-16539.12,-5.0,314365.39
2019-06-03,253.23,Buy,3103.0,2020-01-08,303.87,157135.92,49.99,219,-6343.29,-2.02,471501.31000000006
2020-02-25,302.27,Buy,3899.0,2020-02-25,296.22,-23588.95,-5.0,0,-23588.95,-5.0,447912.36000000004
2020-02-26,293.16,Buy,3819.0,2020-02-27,287.3,-22379.34,-5.0,1,-22379.34,-5.0,425533.02
2020-02-27,285.02,Buy,3732.0,2020-02-27,279.32,-21272.4,-5.0,0,-21272.4,-5.0,404260.62
2020-02-28,269.39,Buy,3751.0,2020-03-09,264.0,-20217.89,-5.0,10,-20217.89,-5.0,384042.73
2020-03-09,256.88,Buy,3737.0,2020-03-12,251.74,-19208.18,-5.0,3,-19208.18,-5.0,364834.55
2020-03-12,238.87,Buy,3818.0,2020-03-12,234.1,-18211.86,-4.99,0,-18211.86,-4.99,346622.69
2020-03-13,245.49,Buy,3529.0,2020-03-13,240.58,-17327.39,-5.0,0,-17327.39,-5.0,329295.3
2020-03-16,225.04,Buy,3658.0,2020-03-18,220.54,-16461.0,-5.0,2,-16461.0,-5.0,312834.3
2020-03-18,220.44,Buy,3547.0,2020-03-18,216.04,-15606.8,-4.99,0,-15606.8,-4.99,297227.5
2020-03-19,223.24,Buy,3328.0,2020-03-19,218.78,-14842.88,-4.99,0,-14842.88,-4.99,282384.62
2020-03-20,227.64,Buy,3101.0,2020-03-20,223.08,-14140.56,-5.01,0,-14140.56,-5.01,268244.06
2020-03-23,214.18,Buy,3131.0,2020-03-23,209.89,-13431.99,-5.01,0,-13431.99,-5.01,254812.07
2020-03-24,220.02,Buy,2895.0,2020-04-14,264.03,127408.95,50.0,21,-1675.7,-0.66,382221.02
2020-09-03,335.48,Buy,2848.0,2020-09-03,328.77,-19110.08,-5.0,0,-19110.08,-5.0,363110.94
2020-09-04,326.3,Buy,2782.0,2020-09-04,319.78,-18138.64,-5.0,0,-18138.64,-5.0,344972.3
2020-09-08,317.42,Buy,2716.0,2020-09-18,311.07,-17246.6,-5.0,10,-17246.6,-5.0,327725.7
2020-10-26,323.82,Buy,2530.0,2020-10-28,317.35,-16369.1,-4.99,2,-16369.1,-4.99,311356.60000000003
2020-10-28,314.33,Buy,2476.0,2020-10-29,308.04,-15574.04,-5.0,1,-15574.04,-5.0,295782.56000000006
2020-10-29,309.42,Buy,2389.0,2021-02-09,371.3,147831.32,49.98,103,-9753.36,-3.3,443613.88000000006
2021-07-19,407.76,Buy,2719.0,2022-02-24,399.6,-22187.04,-5.0,220,-22187.04,-5.0,421426.8400000001
2022-02-24,395.89,Buy,2661.0,2022-05-09,387.97,-21075.12,-5.0,74,-21075.12,-5.0,400351.7200000001
2022-05-09,391.4,Buy,2557.0,2022-05-09,383.57,-20021.31,-5.0,0,-20021.31,-5.0,380330.4100000001
2022-05-10,390.81,Buy,2432.0,2022-05-10,383.0,-18993.92,-4.99,0,-18993.92,-4.99,361336.4900000001
2022-05-11,384.61,Buy,2348.0,2022-05-12,376.92,-18056.12,-5.0,1,-18056.12,-5.0,343280.3700000001
2022-05-12,376.2,Buy,2281.0,2022-05-20,368.68,-17153.12,-5.0,8,-17153.12,-5.0,326127.2500000001
2022-05-20,379.95,Buy,2145.0,2022-05-20,372.35,-16302.0,-5.0,0,-16302.0,-5.0,309825.2500000001
2022-05-23,379.55,Buy,2040.0,2022-06-13,371.96,-15483.6,-5.0,21,-15483.6,-5.0,294341.65000000014
2022-06-13,367.01,Buy,2005.0,2022-06-14,359.67,-14716.7,-5.0,1,-14716.7,-5.0,279624.9500000001
2022-06-14,364.11,Buy,1919.0,2022-06-16,356.83,-13970.32,-5.0,2,-13970.32,-5.0,265654.6300000001
2022-06-16,357.98,Buy,1855.0,2022-09-29,350.82,-13281.8,-5.0,105,-13281.8,-5.0,252372.83000000013
2022-09-29,357.4,Buy,1765.0,2022-09-30,350.25,-12619.75,-5.0,1,-12619.75,-5.0,239753.08000000013
2022-09-30,352.52,Buy,1700.0,2022-10-13,345.47,-11985.0,-5.0,13,-11985.0,-5.0,227768.08000000013
2022-10-13,340.25,Buy,1673.0,2023-02-02,408.3,113847.65,49.98,112,-1790.95,-0.79,341615.7300000001
2023-03-13,373.72,Buy,2285.0,2023-07-18,448.47,170803.75,50.0,127,-2587.02,-0.76,512419.4800000001
2023-09-26,424.66,Buy,3016.0,2023-10-03,416.17,-25605.84,-5.0,7,-25605.84,-5.0,486813.6400000001
2023-10-03,420.68,Buy,2893.0,2023-10-26,412.26,-24359.06,-5.0,23,-24359.06,-5.0,462454.5800000001
2023-10-26,412.15,Buy,2805.0,2024-02-07,494.58,231216.15,50.0,104,-20087.52,-4.34,693670.7300000001
