Open Date,Open Price,Position,Shares,Close Date,Close Price,Returns,Returns (%),Duration,Max Drawdown,Max Drawdown (%),Equity Balance
2011-03-08,102.54,Buy,1218.0,2011-03-16,98.44,-4993.8,-4.99,8,-4993.8,-4.99,95006.2
2011-03-16,99.82,Buy,1189.0,2011-08-04,95.83,-4744.11,-4.99,141,-4744.11,-4.99,90262.09
2011-08-04,97.82,Buy,1153.0,2011-08-05,93.91,-4508.23,-4.99,1,-4508.23,-4.99,85753.86
2011-08-05,95.73,Buy,1119.0,2011-08-05,91.9,-4285.77,-5.0,0,-4285.77,-5.0,81468.09
2011-08-08,91.92,Buy,1107.0,2011-08-08,88.24,-4073.76,-5.0,0,-4073.76,-5.0,77394.33
2011-08-09,89.69,Buy,1078.0,2011-10-04,86.1,-3870.02,-5.0,56,-3870.02,-5.0,73524.31
2011-10-04,85.63,Buy,1073.0,2012-03-26,113.03,29400.2,39.99,174,-781.44,-1.06,102924.51
2012-05-11,107.97,Buy,1191.0,2012-05-18,103.65,-5145.12,-5.0,7,-5145.12,-5.0,97779.39
2012-05-18,104.94,Buy,1164.0,2013-07-18,138.52,39087.12,39.97,426,-3935.65,-4.03,136866.51
2013-08-20,135.48,Buy,1262.0,2014-12-18,178.83,54707.7,39.97,485,-2063.65,-1.51,191574.21000000002
2015-01-05,172.64,Buy,1387.0,2015-08-24,165.73,-9584.17,-5.0,231,-9584.17,-5.0,181990.04
2015-08-24,160.02,Buy,1421.0,2017-03-01,211.22,72755.2,39.98,555,-6176.27,-3.39,254745.24
2017-03-27,205.35,Buy,1550.0,2019-05-01,271.06,101850.5,39.98,765,-443.71,-0.17,356595.74
2019-05-23,260.45,Buy,1711.0,2020-03-12,250.03,-17828.62,-5.0,294,-17828.62,-5.0,338767.12
2020-03-12,238.87,Buy,1772.0,2020-03-16,229.32,-16922.6,-5.0,4,-16922.6,-5.0,321844.52
2020-03-16,225.04,Buy,1787.0,2020-03-18,216.04,-16083.0,-5.0,2,-16083.0,-5.0,305761.52
2020-03-18,220.44,Buy,1733.0,2020-03-23,211.63,-15267.73,-4.99,5,-15267.73,-4.99,290493.79000000004
2020-03-23,214.18,Buy,1695.0,2020-03-23,205.61,-14526.15,-5.0,0,-14526.15,-5.0,275967.64
2020-03-24,220.02,Buy,1567.0,2020-06-03,290.43,110332.47,39.98,71,-907.0,-0.33,386300.11
2020-09-03,335.48,Buy,1439.0,2020-09-04,322.06,-19311.38,-5.0,1,-19311.38,-5.0,366988.73
2020-09-04,326.3,Buy,1405.0,2020-09-11,313.25,-18335.25,-5.0,7,-18335.25,-5.0,348653.48
2020-10-26,323.82,Buy,1345.0,2020-10-28,310.87,-17417.75,-5.0,2,-17417.75,-5.0,331235.73
2020-10-28,314.33,Buy,1317.0,2021-07-02,414.91,132463.86,39.99,247,-11843.35,-3.58,463699.58999999997
2021-07-08,410.24,Buy,1412.0,2022-05-02,393.83,-23170.92,-5.0,298,-23170.92,-5.0,440528.67
2022-05-02,398.14,Buy,1383.0,2022-05-10,382.21,-22031.19,-5.0,8,-22031.19,-5.0,418497.48
2022-05-10,390.81,Buy,1338.0,2022-05-12,375.18,-20912.94,-5.0,2,-20912.94,-5.0,397584.54
2022-05-12,376.2,Buy,1321.0,2022-06-13,361.16,-19867.84,-5.0,32,-19867.84,-5.0,377716.69999999995
2022-06-13,367.01,Buy,1286.0,2022-06-16,352.33,-18878.48,-5.0,3,-18878.48,-5.0,358838.22
2022-06-16,357.98,Buy,1252.0,2022-10-13,343.66,-17928.64,-5.0,119,-17928.64,-5.0,340909.57999999996
2022-10-13,340.25,Buy,1252.0,2023-07-19,449.13,136317.76,39.99,279,-1340.2,-0.39,477227.33999999997
2023-09-26,424.66,Buy,1404.0,2023-10-26,407.68,-23839.92,-5.0,30,-23839.92,-5.0,453387.42
2023-10-26,412.15,Buy,1375.0,2024-06-17,544.04,181348.75,40.0,235,-9846.82,-2.17,634736.1699999999
