Buy Threshold,Sell Threshold,Total Returns,Average Returns,Win Rate (%),Total Trades,Performance vs Buy and Hold (%)
5,65,-83.41,-6.42,40.0,15,-96.98
5,66,-82.45,-6.34,40.0,15,-96.81
5,67,-81.24,-6.25,40.0,15,-96.59
5,68,-79.63,-6.13,46.67,15,-96.3
5,69,-80.02,-6.16,50.0,12,-96.37
5,70,-78.91,-6.07,50.0,12,-96.17
5,71,-78.03,-6.0,50.0,12,-96.01
5,72,-79.55,-6.12,50.0,12,-96.28
5,73,-78.1,-6.01,58.33,12,-96.02
5,74,-80.06,-6.16,58.33,12,-96.38
5,75,-71.86,-5.53,58.33,12,-94.88
5,76,-70.24,-5.4,58.33,12,-94.59
5,77,-70.84,-5.45,58.33,12,-94.7
5,78,-70.81,-5.45,58.33,12,-94.69
5,79,-62.79,-4.83,70.0,10,-93.24
5,80,-58.18,-4.48,70.0,10,-92.4
5,81,-62.79,-4.83,62.5,8,-93.24
5,82,-60.86,-4.68,62.5,8,-92.88
5,83,-45.83,-3.53,62.5,8,-90.15
5,84,-8.09,-0.62,71.43,7,-83.29
5,85,-8.09,-0.62,71.43,7,-83.29
5,86,-8.09,-0.62,71.43,7,-83.29
5,87,-5.87,-0.45,71.43,7,-82.89
5,88,-5.87,-0.45,71.43,7,-82.89
5,89,-8.16,-0.63,71.43,7,-83.3
5,90,-7.62,-0.59,71.43,7,-83.21
5,91,131.17,10.09,71.43,7,-57.98
5,92,167.49,12.88,71.43,7,-51.37
5,93,170.37,13.11,71.43,7,-50.85
5,94,201.18,15.48,71.43,7,-45.25
5,95,662.62,50.97,100.0,5,38.64
6,65,-81.32,-6.26,41.18,17,-96.6
6,66,-79.27,-6.1,47.06,17,-96.23
6,67,-77.7,-5.98,47.06,17,-95.95
6,68,-75.75,-5.83,52.94,17,-95.59
6,69,-76.09,-5.85,57.14,14,-95.65
6,70,-74.98,-5.77,57.14,14,-95.45
6,71,-73.73,-5.67,57.14,14,-95.22
6,72,-75.41,-5.8,57.14,14,-95.53
6,73,-73.27,-5.64,64.29,14,-95.14
6,74,-75.45,-5.8,64.29,14,-95.54
6,75,-64.47,-4.96,64.29,14,-93.54
6,76,-62.7,-4.82,64.29,14,-93.22
6,77,-63.49,-4.88,64.29,14,-93.36
6,78,-63.04,-4.85,64.29,14,-93.28
6,79,-56.69,-4.36,70.0,10,-92.13
6,80,-51.98,-4.0,70.0,10,-91.27
6,81,-57.4,-4.42,62.5,8,-92.26
6,82,-55.24,-4.25,62.5,8,-91.86
6,83,-37.96,-2.92,62.5,8,-88.72
6,84,5.15,0.4,71.43,7,-80.88
6,85,5.15,0.4,71.43,7,-80.88
6,86,5.15,0.4,71.43,7,-80.88
6,87,7.76,0.6,71.43,7,-80.41
6,88,7.76,0.6,71.43,7,-80.41
6,89,4.65,0.36,71.43,7,-80.97
6,90,5.23,0.4,71.43,7,-80.87
6,91,155.36,11.95,71.43,7,-53.58
6,92,195.24,15.02,71.43,7,-46.33
6,93,198.46,15.27,71.43,7,-45.74
6,94,232.2,17.86,71.43,7,-39.61
6,95,655.02,50.39,100.0,5,37.26
7,65,-86.54,-6.66,41.18,17,-97.55
7,66,-85.11,-6.55,47.06,17,-97.29
7,67,-83.92,-6.46,47.06,17,-97.08
7,68,-82.6,-6.35,52.94,17,-96.84
7,69,-82.88,-6.38,50.0,14,-96.89
7,70,-82.06,-6.31,50.0,14,-96.74
7,71,-81.11,-6.24,50.0,14,-96.57
7,72,-82.32,-6.33,50.0,14,-96.79
7,73,-80.59,-6.2,50.0,14,-96.47
7,74,-82.15,-6.32,42.86,14,-96.75
7,75,-74.0,-5.69,57.14,14,-95.27
7,76,-72.77,-5.6,57.14,14,-95.05
