Buy Threshold,Sell Threshold,Risk Reward Ratio,Loss Buffer,Risk Per Trade,Start Date,End Date,Backtest Duration,Total Trades,Total Buys,Total Sells,Initial Balance,Final Balance,Total Returns,Total Returns (%),Annualised Returns (%),Average Returns,Average Returns (%),Average Returns Per Trade,Average Returns Per Trade (%),Average Trade Duration,Number of Winners,Number of Long Winners,Number of Short Winners,Average Winner Returns,Average Winner Returns (%),Number of Losers,Number of Long Losers,Number of Short Losers,Average Loser Returns,Average Loser Returns (%),Win Rate (%),Average Drawdown,Average Drawdown (%),Max Loss Streak,Buy and Hold Returns,Buy and Hold Returns (%),Annualised Buy and Hold Returns (%),Average Buy and Hold Returns (%),Performance vs Buy and Hold (%)
5,75,1,1,1,2011-01-03,2024-08-01,4959,188,48,140,100000,57739.45,-42260.55,-42.26,-3.96,-3250.81,-3.25,-224.79,-0.22,3,67,24,43,695.77,1.0,121,24,97,-734.52,-1.0,35.64,-709.78,-0.98,10,450086.03,450.09,13.37,34.62,-89.5
5,75,1,1,2,2011-01-03,2024-08-01,4959,188,48,140,100000,32703.65,-67296.35,-67.3,-7.9,-5176.64,-5.18,-357.96,-0.36,3,67,24,43,983.26,2.0,121,24,97,-1100.62,-2.0,35.64,-1047.0,-1.96,10,450086.03,450.09,13.37,34.62,-94.05
5,75,1,1,3,2011-01-03,2024-08-01,4959,188,48,140,100000,18173.95,-81826.05,-81.83,-11.8,-6294.31,-6.29,-435.24,-0.44,3,67,24,43,1060.67,2.99,121,24,97,-1263.56,-3.0,35.64,-1185.18,-2.94,10,450086.03,450.09,13.37,34.62,-96.7
5,75,1,1,4,2011-01-03,2024-08-01,4959,188,48,140,100000,9920.33,-90079.67,-90.08,-15.64,-6929.21,-6.93,-479.15,-0.48,3,67,24,43,1039.78,3.99,121,24,97,-1320.21,-3.99,35.64,-1224.04,-3.92,10,450086.03,450.09,13.37,34.62,-98.2
5,75,1,1,5,2011-01-03,2024-08-01,4959,188,48,140,100000,5311.34,-94688.66,-94.69,-19.43,-7283.74,-7.28,-503.66,-0.5,3,67,24,43,979.35,4.99,121,24,97,-1324.84,-4.99,35.64,-1217.46,-4.9,10,450086.03,450.09,13.37,34.62,-99.03
5,75,1,2,1,2011-01-03,2024-08-01,4959,105,36,69,100000,80653.56,-19346.44,-19.35,-1.57,-1488.19,-1.49,-184.25,-0.18,10,42,19,23,876.92,1.0,63,17,46,-891.7,-1.0,40.0,-794.3,-0.89,7,450086.03,450.09,13.37,34.62,-85.34
5,75,1,2,2,2011-01-03,2024-08-01,4959,105,36,69,100000,64361.84,-35638.16,-35.64,-3.19,-2741.4,-2.74,-339.41,-0.34,10,42,19,23,1540.65,2.0,63,17,46,-1592.78,-2.0,40.0,-1414.82,-1.78,7,450086.03,450.09,13.37,34.62,-88.3
5,75,1,2,3,2011-01-03,2024-08-01,4959,105,36,69,100000,50800.45,-49199.55,-49.2,-4.86,-3784.58,-3.78,-468.57,-0.47,10,42,19,23,2023.04,3.0,63,17,46,-2129.64,-3.0,40.0,-1886.34,-2.68,7,450086.03,450.09,13.37,34.62,-90.76
5,75,1,2,4,2011-01-03,2024-08-01,4959,105,36,69,100000,39686.03,-60313.97,-60.31,-6.58,-4639.54,-4.64,-574.42,-0.57,10,42,19,23,2356.87,3.99,63,17,46,-2528.61,-4.0,40.0,-2233.86,-3.57,7,450086.03,450.09,13.37,34.62,-92.79
5,75,1,2,5,2011-01-03,2024-08-01,4959,105,36,69,100000,30661.97,-69338.03,-69.34,-8.33,-5333.69,-5.33,-660.36,-0.66,10,42,19,23,2571.98,4.99,63,17,46,-2815.26,-4.99,40.0,-2481.05,-4.46,7,450086.03,450.09,13.37,34.62,-94.43
5,75,1,3,1,2011-01-03,2024-08-01,4959,78,32,46,100000,86650.22,-13349.78,-13.35,-1.05,-1026.91,-1.03,-171.15,-0.17,22,32,16,16,906.27,1.0,46,16,30,-920.66,-1.0,41.03,-787.45,-0.86,7,450086.03,450.09,13.37,34.62,-84.25
5,75,1,3,2,2011-01-03,2024-08-01,4959,78,32,46,100000,74430.63,-25569.37,-25.57,-2.15,-1966.87,-1.97,-327.81,-0.33,22,32,16,16,1647.93,2.0,46,16,30,-1702.24,-2.0,41.03,-1447.55,-1.72,7,450086.03,450.09,13.37,34.62,-86.47
5,75,1,3,3,2011-01-03,2024-08-01,4959,78,32,46,100000,63471.77,-36528.23,-36.53,-3.29,-2809.86,-2.81,-468.31,-0.47,22,32,16,16,2240.05,2.99,46,16,30,-2352.39,-3.0,41.03,-1989.11,-2.58,7,450086.03,450.09,13.37,34.62,-88.46
5,75,1,3,4,2011-01-03,2024-08-01,4959,78,32,46,100000,53678.65,-46321.35,-46.32,-4.48,-3563.18,-3.56,-593.86,-0.59,22,32,16,16,2702.32,3.99,46,16,30,-2886.86,-4.0,41.03,-2426.89,-3.44,7,450086.03,450.09,13.37,34.62,-90.24
5,75,1,3,5,2011-01-03,2024-08-01,4959,78,32,46,100000,45064.6,-54935.4,-54.94,-5.7,-4225.8,-4.23,-704.3,-0.7,22,32,16,16,3050.65,4.99,46,16,30,-3316.44,-4.99,41.03,-2772.07,-4.3,7,450086.03,450.09,13.37,34.62,-91.81
5,75,1,4,1,2011-01-03,2024-08-01,4959,65,27,38,100000,91151.22,-8848.78,-8.85,-0.68,-680.68,-0.68,-136.14,-0.14,29,28,13,15,937.22,1.0,37,14,23,-948.4,-1.0,43.08,-739.28,-0.78,5,450086.03,450.09,13.37,34.62,-83.43
5,75,1,4,2,2011-01-03,2024-08-01,4959,65,27,38,100000,82481.3,-17518.7,-17.52,-1.41,-1347.59,-1.35,-269.52,-0.27,29,28,13,15,1763.05,1.99,37,14,23,-1807.68,-2.0,43.08,-1403.88,-1.56,5,450086.03,450.09,13.37,34.62,-85.01
5,75,1,4,3,2011-01-03,2024-08-01,4959,65,27,38,100000,74237.68,-25762.32,-25.76,-2.17,-1981.72,-1.98,-396.34,-0.4,29,28,13,15,2479.89,3.0,37,14,23,-2572.96,-2.99,43.08,-1991.28,-2.34,5,450086.03,450.09,13.37,34.62,-86.5
5,75,1,4,4,2011-01-03,2024-08-01,4959,65,27,38,100000,66363.9,-33636.1,-33.64,-2.97,-2587.39,-2.59,-517.48,-0.52,29,28,13,15,3091.77,3.99,37,14,23,-3248.8,-3.99,43.08,-2505.2,-3.12,5,450086.03,450.09,13.37,34.62,-87.94
5,75,1,4,5,2011-01-03,2024-08-01,4959,65,27,38,100000,58947.67,-41052.33,-41.05,-3.82,-3157.87,-3.16,-631.57,-0.63,29,28,13,15,3603.9,4.99,37,14,23,-3836.79,-4.99,43.08,-2947.77,-3.91,5,450086.03,450.09,13.37,34.62,-89.28
5,75,1,5,1,2011-01-03,2024-08-01,4959,55,24,31,100000,91187.3,-8812.7,-8.81,-0.68,-677.9,-0.68,-160.23,-0.16,39,23,11,12,936.17,0.99,32,13,19,-948.27,-0.99,41.82,-737.94,-0.78,6,450086.03,450.09,13.37,34.62,-83.42
5,75,1,5,2,2011-01-03,2024-08-01,4959,55,24,31,100000,82641.01,-17358.99,-17.36,-1.39,-1335.31,-1.34,-315.62,-0.32,39,23,11,12,1767.59,2.0,32,13,19,-1812.93,-2.0,41.82,-1406.06,-1.56,6,450086.03,450.09,13.37,34.62,-84.98
5,75,1,5,3,2011-01-03,2024-08-01,4959,55,24,31,100000,74508.3,-25491.7,-25.49,-2.14,-1960.9,-1.96,-463.49,-0.46,39,23,11,12,2492.53,2.99,32,13,19,-2588.12,-2.99,41.82,-2000.84,-2.34,6,450086.03,450.09,13.37,34.62,-86.46
5,75,1,5,4,2011-01-03,2024-08-01,4959,55,24,31,100000,66734.62,-33265.38,-33.27,-2.93,-2558.88,-2.56,-604.83,-0.6,39,23,11,12,3113.46,3.99,32,13,19,-3277.34,-4.0,41.82,-2524.93,-3.12,6,450086.03,450.09,13.37,34.62,-87.87
5,75,1,5,5,2011-01-03,2024-08-01,4959,55,24,31,100000,59564.92,-40435.08,-40.44,-3.74,-3110.39,-3.11,-735.18,-0.74,39,23,11,12,3643.92,4.99,32,13,19,-3882.66,-4.99,41.82,-2981.97,-3.9,6,450086.03,450.09,13.37,34.62,-89.17
